name,surname,address,phone_number,email,IP_address,IBAN_number,credit_card_number,cvv,expiration_date,password
Sonia Sandi-Napolitano,Ciani,"Borgo Germano, 541 Appartamento 9, 26837, Quartiano (LO)",3501056273,dinaarmani@example.net,220.18.47.24,IT31E3636279316514962484829,3565597177831241,031,01/28,J3$4@SiB0S1BXiM+DG0zx6nP
Linda Jackson,Iacobucci,"534 Danielle Prairie Apt. 643, Spencerberg, TN 61123",001-293-209-1253x581,wgaggini@example.net,197.119.64.70,IT66B1647320210945248020444,4964304153977543,993,12/25,pFvo_9F!qd20u*Qxk
Leone Torlonia,Mueller,"Stretto Riccardo, 38 Piano 3, 50026, Mercatale (FI)",+39 01878477730,pierinaaloisio@example.com,88.44.65.111,IT73D9507994016139636448240,4504531188149,661,08/34,d!7a^BoQ&m8xQQUfD!YAV(t
Sonia Ajello,Ciani,"Stretto Giacomo, 24 Piano 8, 51100, Sammomme' (PT)",073263384,irmagiannotti@example.net,138.248.199.145,GB88VWYP94125090280486,2712752591231254,365,12/29,@k1J&rGHZg1L3p
Graziano Morpurgo,Schiavo,"Incrocio Costalonga, 8 Appartamento 1, 15027, Pontestura (AL)",3516617283,bvecoli@example.org,83.113.200.132,IT52L6210138268625751390309,180018665294637,371,09/28,dlPXVf#%!_03Dhw48!5y^W
David Myers,Hernandez,"35475 Kimberly Mills, Port Rachel, SC 10641",464-399-6670x6473,uleopardi@example.org,129.95.60.30,IT95D5990640900315943919104,503896863134,196,01/26,$QpHY2%e7ff
Sig.ra Romina Tencalla,Pace,"0552 Williams Parks Suite 838, Laurenbury, FL 14903",+39 086536388,gruggieri@example.com,183.33.219.46,IT58K9712293186540876606651,4000736989209,210,04/27,N@E*(9Mcgt7V$ra0w#Iky8
Keith Evans,Hubbard,"Viale Fuseli, 60, 11029, Verres (AO)",+39 0933740281,letizia93@example.net,121.65.191.122,IT44K4314035356820683943827,060481068140,837,10/33,$&2Y0S$f8ZNjSw2lsm!U4p
Ashlee Knapp,Vega,"56257 Robinson Extensions Suite 321, Port Patrick, ID 90946",(675)322-4296,danielpeter@example.com,171.96.68.252,GB24PUGR13043780031300,6011532516087604,971,05/33,J3NUE&#pu^7O690%lA9$B$L
Mackenzie Smith,Pucci,"Borgo Gustavo, 65 Appartamento 95, 26826, Secugnago (LO)",+39 039013001,rhondaharper@example.org,101.236.33.111,IT40M0139704800648474177249,2408578898542435,250,05/32,0_1AhrnJG!irfS6P+vE
Dott. Massimiliano Gaito,Bignami,"628 Lee Flats Suite 976, Josephside, MN 54650",0572008578,cheryl12@example.org,218.250.9.164,IT95W9335225551697575928313,630497560304,278,12/26,SihjF9D8TJ9OvFBfY#4%*(3$&
Emily Welch,Pennington,"143 Chan Points, South Dylanside, OK 75562",(422)426-7909x165,simonetotino@example.com,176.203.166.49,IT55V0261247709570688665901,372245350402880,794,02/30,0jKP7bbu%L^!tEKtraQpFQ3TH
Christina Harris,Filogamo,"84624 Thomas Ford, Port Christianfurt, VI 83342",906.516.0686,ogarcia@example.com,24.2.74.159,GB62VXCP11143971506614,3572492080879704,509,01/33,9&H#0IiG^jOWj_!oyusEZ
Kathryn Woods,Avila,"Vicolo Spallanzani, 881, 71040, Isole Tremiti (FG)",+39 331643162,xvianello@example.net,59.42.35.142,IT71K6004933708657896189863,2240868058618295,752,06/31,(I@0EAs1ypnA3oy
Robert Fisher,Baresi,"Via Fiorenzo, 8 Piano 8, 83053, Sant'Andrea Di Conza (AV)",+39 0578988807,elladio26@example.net,146.172.176.91,GB32HGGJ93403142568769,4720096655741618,162,11/33,gUV9cFNcih23)9Fz4oFM@*px^
Lolita Gioberti,Papafava,"Vicolo Telemaco, 73, 31031, Caerano Di San Marco (TV)",+39 09638505252,allenmoore@example.com,45.243.49.153,GB94PIGV64906268695126,4072046052583178175,730,03/32,)VJuiv7v62hM
Giovanna Fioravanti,Viola,"64914 David Parkways Suite 968, South Kimberly, NJ 48320",+39 0471017328,gemmabottigliero@example.com,203.222.57.5,IT72T7614339853970747086642,4179567428672179,9532,03/28,)4YFR&7KseHYaov5yto
Julia Escobar,Tarchetti,"027 Jimmy Turnpike, Port Dianamouth, FM 49764",822.698.3283x73443,williamsbrittany@example.org,75.130.80.105,IT07G8175324283955951147066,344275978230913,637,07/30,oRA1QAOc)b9w*m
Karen Holloway,Padovano,"81997 Preston Flats Apt. 715, Aliciahaven, MD 59846",907-347-0152x818,filogamofederico@example.org,33.226.100.126,IT55X3016916785969404177444,3547499702869528,396,02/32,^c26VC8d!v@
Sig.ra Jolanda Falloppio,Treccani,"06346 Berry Junction, Port Christopherport, MO 33684",812.446.2163x3330,fortunatababati@example.net,212.178.45.72,IT73P7800872808624426398278,3500525375325490,752,04/28,RUR!R*2)2eqFAk@m)
