name,surname,address,phone_number,email,IP_address,IBAN_number,credit_card_number,cvv,expiration_date,password
Sig. Delfino Finzi,Green,"36585 Gomez Village, Richardstad, MA 48191",+39 3931881429,renzodraghi@example.com,72.52.222.133,IT92W8626786052774410914828,503808117108,0346,07/29,tcc68rN4hZpKW^rA6$e&7%k
Yvonne Chambers,Moses,"Vicolo Panicucci, 88 Appartamento 17, 31048, Olmi Di Treviso (TV)",078387409,lorettaandreozzi@example.org,7.156.201.79,IT33Z1809005902651664600018,3512381050343812,367,01/29,ZRH@0^#bs(&!yr
Giuliana Modigliani,Bernetti,"Stretto Giannetti, 90 Appartamento 49, 80042, Boscotrecase (NA)",001-400-531-4265x10585,moracassandra@example.org,169.37.136.203,IT07J3328645466489439814628,3545877969734547,721,05/29,9zO9YEKd+WkYotg
Jason Daniel,Manolesso,"Stretto Antonella, 99, 08046, Perdasdefogu (NU)",093466009,lauren70@example.org,117.162.98.124,GB78JLVS72736994752566,36441745832067,283,08/25,i%#Ns#Ro1O7lado&%rBuEIS1
Julie Cooper,Rosselli,"52520 Pineda Cove Suite 186, West Christopherberg, NH 54515",086102121,pbottaro@example.com,24.169.243.190,GB77BXRK69540098323998,4105116077689123,937,03/29,H(7GZ#)xm)4Uoi5IhJN7OL
Vincentio Battisti,Morricone,"Via Giradello, 37, 73052, Parabita (LE)",335737750,bensontanner@example.com,130.101.35.190,GB05OQPI32723816103754,30544147742549,394,12/29,+V@YcR(eS64xnOytIsLvmq
Lisa Frescobaldi,Ramirez,"33764 Riley Stravenue, West Jamie, PR 23117",(241)409-8369x40280,ballacamillo@example.net,189.202.213.183,GB73DLGM28319889324639,4053338877793,609,11/26,tHHTfhgX%Fs5VVLqMYORGs8V9R
Kelsey Martin,Cianciolo,"Viale Fracci, 71 Appartamento 38, 64100, Tordinia (TE)",+1-446-422-8305x4895,pierinariccardi@example.org,131.148.158.147,IT60L9329097303191577449604,676385226144,587,07/30,kt!VS9Ej^Ylv)Ie#g4v04
Fabia Lombardo-Gemito,Samele,"062 Carroll Greens Suite 738, Priceville, WA 27489",(541)225-7083,raffaellocanali@example.com,198.43.113.254,IT92V5950374212594861826536,30239332357340,277,10/28,&15LuTTKDwtf2bWP
Michelle Byrd,Falcone,"Stretto Riccardi, 194, 39025, Stava (BZ)",+39 3306577253,martinnicholas@example.org,195.150.95.172,IT17C5733694094479495053880,4163907901757,444,03/28,TY7!S21Bj3ZBR8Ay9p*h0
Massimo Palazzo,Thompson,"Vicolo Dina, 33 Piano 5, 13060, Roasio (VC)",(720)895-4114x375,danielecoppola@example.org,162.37.74.3,IT13V6965742351890165147922,4071632677420,952,01/29,%Ip0_HIr^g3Kzwcpj$ob
William Roberson,Mcintyre,"7631 Cathy Plaza Apt. 388, North Christychester, NV 53057",0343111169,martinomortati@example.org,77.159.46.112,IT64R7822900869236004961460,213153297801201,529,12/31,)a9gpwWPl#Y0t&4K$sg
Vito Chittolini,Harris,"08846 Christina Pine Apt. 792, Julieton, PA 05241",092536863,zaccardocesare@example.com,160.236.129.237,IT15B6133592465584680486539,6585577352882457,907,01/31,^5zB%RKnx6k+n8R4cAEq#
